episode,elite_avg_timestamp_last_20_episodes,all_avg_timestamp_last_20_episodes
1,29.3,17.26
2,42.25,19.85
3,42.5,19.853333333333335
4,45.95,20.9
5,42.9,20.148
6,41.483333333333334,19.77333333333333
7,41.34285714285714,19.917142857142856
8,40.8125,19.807499999999997
9,39.72222222222222,19.64222222222222
10,42.6,20.337999999999997
11,45.31111111111111,21.21777777777778
12,49.474999999999994,22.64
13,58.699999999999996,25.25714285714286
14,63.949999999999996,27.220000000000002
15,70.78,30.052
16,79.0,34.394999999999996
17,114.53333333333335,48.27333333333333
18,158.35,65.47
19,131.1,60.34
20,74.58,32.841
21,83.91499999999999,35.962
22,89.85999999999999,38.951
23,98.435,41.884
24,111.125,47.528000000000006
25,127.58999999999999,54.86999999999999
26,140.85,60.96999999999999
27,158.12,68.481
28,175.13000000000002,76.28200000000001
29,193.435,85.01599999999999
30,209.82000000000002,92.46799999999999
31,226.50500000000002,101.26599999999999
32,241.545,108.974
33,257.235,116.31599999999999
34,274.51500000000004,125.577
35,291.03000000000003,134.721
36,305.23,143.05400000000003
37,317.255,150.031
38,329.1,156.301
39,342.53499999999997,163.417
40,355.125,172.213
41,364.32,178.027
42,373.65,182.43099999999998
43,381.48499999999996,188.50400000000002
44,385.97999999999996,191.542
45,387.97999999999996,194.443
46,393.0,199.242
47,392.075,198.815
48,392.96999999999997,199.47899999999998
49,392.91999999999996,199.19500000000002
50,393.11,202.157
